"","unlistNoticias","Freq"
"1","",776
"2","-",1
"3"," ",3
"4","#usando",1
"5","$1390",1
"6","$220",1
"7","$2990",1
"8","$3490",1
"9","$790",1
"10","(omega-3)",1
"11","30",1
"12","a",4
"13","ã¡cido",1
"14","ã¡cidos",2
"15","ademã¡s",1
"16","alimentos",3
"17","alta",1
"18","alto",1
"19","altos",1
"20","antioxidante",1
"21","aportan",2
"22","arã¡ndanos",2
"23","arandanos",1
"24","artã­culo",2
"25","ayudan",1
"26","b12",1
"27","bacterias",2
"28","batido",1
"29","beneficiosas",2
"30","beneficiosos",1
"31","bruselas",2
"32","c",1
"33","calcio",1
"34","calorã­as",3
"35","cantidad",1
"36","cinco",1
"37","coles",2
"38","colun",2
"39","como",1
"40","compuesto",1
"41","con",2
"42","concentrados",1
"43","consumidos",1
"44","consumo",2
"45","contenido",1
"46","contenidos",1
"47","correcto",1
"48","cualidades",1
"49","cuyo",1
"50","de",23
"51","deberã­an",1
"52","densidad",1
"53","denso",1
"54","descremda",1
"55","destaca",3
"56","diario",2
"57","dieta",1
"58","e",1
"59","el",10
"60","en",5
"61","es",3
"62","escuela",1
"63","este",1
"64","estos",1
"65","fã³lico",1
"66","favorecen",2
"67","fermentos",1
"68","forma",1
"69","fuente",1
"70","funcionamiento",1
"71","fung",2
"72","gran",1
"73","grasos",2
"74","harvard",1
"75","huevo",1
"76","imagen",1
"77","importantes",1
"78","intestinal",1
"79","junto",1
"80","k",1
"81","la",10
"82","las",8
"83","leche",2
"84","libreria",1
"85","lider",6
"86","llevar",1
"87","los",4
"88","mã¡s",1
"89","magnesio",1
"90","mantener",1
"91","marca",1
"92","mediano",1
"93","muchos",1
"94","nueces",2
"95","nuestra",1
"96","nuestro",2
"97","numerosos",1
"98","nutriciã³n",1
"99","nutricional",1
"100","nutricionalmente",1
"101","nutrientes",3
"102","o",1
"103","obtener",1
"104","ofrece",1
"105","organismo",2
"106","pãºblica",1
"107","para",3
"108","pocas",3
"109","poder",1
"110","por",1
"111","porque",1
"112","potasio",1
"113","precio",1
"114","probiã³ticos",1
"115","procesos",1
"116","producto",1
"117","profesora",2
"118","proporciona",1
"119","proteã­nas",3
"120","que",10
"121","recomienda",2
"122","referencia",1
"123","rvestlibrary('rvest')installpackagrd('rvest')",1
"124","salmã³n",2
"125","salmon",1
"126","salud",4
"127","saludables",1
"128","sana",1
"129","se",2
"130","seã±ala",1
"131","segãºn",2
"132","semana",1
"133","sencilla",1
"134","sentido",1
"135","ser",1
"136","su",1
"137","supermercado",1
"138","supone",1
"139","tambiã©n",2
"140","teresa",1
"141","texto",1
"142","trata",1
"143","un",3
"144","una",4
"145","universidad",1
"146","uno",1
"147","vez",1
"148","vitamina",2
"149","vitaminas",1
"150","y",10
"151","ya",2
"152","yemita",1
"153","yogur",2
"154","yogurth",1
"155","yoguth",1
